"","Row.names","group","id"
"1","597ba81afd9fe500011672e2","experiment","vwmt001"
"5","5c7fb80a1a744b001645ec42","experiment","vwmt005"
"6","5cae09506d573900175d4727","experiment","vwmt006"
"7","5da9b30a3624c200157bd9f0","experiment","vwmt007"
"8","5dae5c7158a2e500170f1cd8","experiment","vwmt008"
"10","5dfe7de0bf3d4eb1cc979a7a","experiment","vwmt010"
"11","5e1ee1a5061ea8213846e5bc","experiment","vwmt011"
"12","5e4ab1b4ca765d000edebd15","experiment","vwmt012"
"14","5ea68fb8b87a6100095b1a39","experiment","vwmt014"
"15","5ea93196653dfc000b23516b","experiment","vwmt015"
"17","5ec806f532fe7d2afa2e315b","experiment","vwmt017"
"18","5ee55de461410f0f2bc3977a","experiment","vwmt018"
"19","5eea8ba19d0a1a155a3a67f7","experiment","vwmt019"
"20","5f0af097e7d15b3bf7734642","experiment","vwmt020"
"21","5f0b8fb4f142602fe1db398b","experiment","vwmt021"
"22","5f11a4f1870c8b030c60b122","experiment","vwmt022"
"23","5f171d89d09d0a02eda886a0","experiment","vwmt023"
"24","5f19d1b9fe31fc06299fe53b","experiment","vwmt024"
"25","5f2be37b1e52920009dadba6","experiment","vwmt025"
"26","5f2e44f216a1ff1a52476083","experiment","vwmt026"
"27","5f3d71e21cdd47124dd87d88","experiment","vwmt027"
"29","5f48cec1d9745802d7ab1e1b","experiment","vwmt029"
"30","5f48dd7cee072b297b07de07","experiment","vwmt030"
"32","5f4fa3bf5e8dec0806153507","experiment","vwmt032"
"33","5f50a97f44ceb0222703df77","experiment","vwmt033"
"34","5f52b90347e7995be3eba0ec","experiment","vwmt034"
"35","5f566c4ac45b0308940a000b","experiment","vwmt035"
"36","5f5b7da324ea690ab36f58a5","experiment","vwmt036"
"37","5f6247a964b0fe2746fb33d5","experiment","vwmt037"
"39","5f7366fe5b5261081e3d6fb8","experiment","vwmt039"
"40","5f84b44e62287f162d1f61ac","experiment","vwmt040"
"41","5f9765e68112f6137e06db5d","experiment","vwmt041"
"42","5f99cee5a2a7d109a1624e10","experiment","vwmt042"
"43","5fa465fa1bae7e0d3724bfa2","experiment","vwmt043"
"44","5fac47187dfda11d948deef7","experiment","vwmt044"
"45","5fad4db063bdee02d14d9511","experiment","vwmt045"
"46","5fb028d5e28a5c39c175eeda","experiment","vwmt046"
"49","5bc7033bd2bea100010ca42e","control","vwmt049"
"50","5cb1ed1ef3410900174a9838","control","vwmt050"
"51","5cbc8bd2114fa5001aac5c45","control","vwmt051"
"52","5d42c0949ad09e00010800be","control","vwmt052"
"53","5d99be023fdbbd00181f6548","control","vwmt053"
"54","5ddfc5a904ba3e03e96a5bd7","control","vwmt054"
"55","5e3854e8983be7069e66ff45","control","vwmt055"
"56","5e5d0bb3afebf1000ad9a903","control","vwmt056"
"57","5e84f5b5f9dd660d5ee7437a","control","vwmt057"
"61","5ebc4b98ea22c808030a6665","control","vwmt061"
"62","5ed4d7f341fea80008d3f88f","control","vwmt062"
"63","5ee10d5b0017d10ec8702d10","control","vwmt063"
"64","5ee81653dcb1fd1126c7a4e3","control","vwmt064"
"67","5eee042737a90c2596179309","control","vwmt067"
"69","5effb373e52eda0a74ec4015","control","vwmt069"
"70","5f07759f859dcb38b8d4c6b5","control","vwmt070"
"71","5f07b71224cc101db7a0adf9","control","vwmt071"
"72","5f0c68879df0505d10a18c33","control","vwmt072"
"74","5f22cd7c70bd6e00080a8fe3","control","vwmt074"
"76","5f2916b93ea4b72c2ff5e09e","control","vwmt076"
"78","5f2c18b525352005ad5e5c28","control","vwmt078"
"79","5f31aac1304d250affe75b78","control","vwmt079"
"80","5f3a76043bb11c6786e731bf","control","vwmt080"
"81","5f3e1298ae2d7524fd95998e","control","vwmt081"
"82","5f57e92361932731c4e67492","control","vwmt082"
"83","5f5a4d7af233b40d54c6a53e","control","vwmt083"
"84","5f5ba028d66aea318f8360bd","control","vwmt084"
"86","5f6268190101b717fb2f31a5","control","vwmt086"
"87","5f636c7645f61e036f74ccbf","control","vwmt087"
"88","5f64c18a0d65c4021a1c3370","control","vwmt088"
"89","5f67904169a51c3b06d32fa3","control","vwmt089"
"90","5f72e078d315292280ac3f75","control","vwmt090"
"91","5f7b57a09155a20fb21f0420","control","vwmt091"
"92","5f8e01707d41f91b4a084616","control","vwmt092"
"93","5f8ebfe2e2f7200503ff0b93","control","vwmt093"
"94","5f95af7eb84cf00946f721ec","control","vwmt094"
"95","5fa0100e226a1a000c4c19c3","control","vwmt095"
"96","5fa9a24dc3ac3b1c06afae37","control","vwmt096"
"97","5faa9c340cc79c413dade876","control","vwmt097"
