"","V1","V2"
"1","20cXVl0w1607810791150","560"
"2","bWylY0d61607440775385","360"
"3","fNAKnRzx1607355615891","560"
"4","O95yRbCc1607698249404","360"
"5","OXX5G4eh1607541943101","360"
"6","SJIlJT8O1607595739510","360"
"7","3F6EHSTu1607012791869","360"
"8","6WWJ0lvQ1607085132790","360"
"9","7r7yRMD21606916872554","360"
"10","Ebp8KR4M1607171076581","560"
"11","FwtI84TN1606818240224","360"
"12","q7wIGkuu1606763750345","560"
"13","1vWm0WWH1606434053078","360"
"14","8VTehqVk1606582492288","560"
"15","dY4B0BsV1606226567311","360"
"16","JF5ZvS0P1606297320665","360"
"17","oaVxOXxS1606129382313","560"
"18","VJqYRWhr1606483311774","360"
"19","5dC6Ce011608197558109","360"
"20","AROTnOqr1608132244816","360"
"21","eeHq22Rn1608570087685","560"
"22","LOu8xM7u1608373830826","360"
"23","LUIJWDlb1608028169598","360"
"24","MDgnXM0t1607953729803","560"
"25","3gw0IZD01606731339693","560"
"26","Db4Fb2vj1606920623993","360"
"27","rZD40JsX1607187826060","560"
"28","tW1e6BgD1607006001418","360"
"29","UQ3sv6O71607094099067","360"
"30","vHFD7bFt1606832475140","360"
"31","9VDZaLR71606986309685","360"
"32","MsBLefFs1606812549213","360"
"33","ndRl0Zzy1606904514302","360"
"34","V3rNlBrW1606731447393","560"
"35","v600F0O01607171585371","560"
"36","vC8PQMaS1607082892734","360"
"37","5utdUR9n1606209785094","360"
"38","bTfRjwJ91606301718627","360"
"39","H0NkV1M21606393994076","360"
"40","kSdn0kiC1606129213336","560"
"41","NZHSNsYT1606569090247","560"
"42","OOqpwZKU1606477085230","360"
"43","4gdIMy7g1607108052238","360"
"44","5eohCDE81607263833624","560"
"45","dJ064Boj1606750296224","560"
"46","IzwIVLiq1607038967391","360"
"47","WYe2dEFb1606944973282","360"
"48","y3GGk6bY1606842025029","360"
"49","Adeiey7m1607423270731","360"
"50","ELVsO4HD1607360927152","560"
"51","g3DdMO9w1607527663503","360"
"52","kSwfJ8MW1607701533291","360"
"53","SUDtPuBw1607614151082","360"
"54","TPkFTWlq1607780433103","560"
"55","EUOUveuY1608650079340","360"
"56","hW5rJPY31608315439093","360"
"57","HzpSClxP1607938272686","560"
"58","NQ6Q0NtA1608394783397","360"
"59","u18FoeUO1608629711711","360"
"60","ZBzPf54i1608735294682","560"
"61","Awb9h3qJ1606204943876","360"
"62","iF25WeN01606563381951","560"
"63","TPIO0xiK1606388050858","360"
"64","UgFe7W2L1606132041715","560"
"65","vZyvEn181606474556027","360"
"66","zAV8MUzw1606293974077","360"
"67","a01qPIwA1608473484318","560"
"68","A805C6eR1608300746241","360"
"69","pLrjKvLQ1608126915722","360"
"70","u0WD2OS51607962377225","560"
"71","X1wse4H91608389896038","360"
"72","y0EusjRD1608030414683","360"
"73","68R6C1fR1604946622616","360"
"74","H3wAHEqT1605038789763","360"
"75","jUdOs60j1605293724862","560"
"76","RmkErvvy1605125394764","360"
